projectName,name,pathFile,productionFile,junitVersion,loc,qtdMethods,testSmellName,testSmellMethod,testSmellLine,testSmellLineBegin,testSmellLineEnd
commons-io,ByteOrderParserTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\ByteOrderParserTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\ByteOrderParser.java,JUnit5,46,4,Lazy Test,testParseBig,null,null,null
commons-io,ByteOrderParserTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\ByteOrderParserTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\ByteOrderParser.java,JUnit5,46,4,Lazy Test,testParseLittle,null,null,null
commons-io,ByteOrderParserTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\ByteOrderParserTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\ByteOrderParser.java,JUnit5,46,4,Lazy Test,testThrowsException,null,null,null
commons-io,CompositeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\CompositeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java,JUnit5,121,4,Resource Optimism,setUp,39,39,83
commons-io,CompositeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\CompositeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java,JUnit5,121,4,Magic Number Test,constructorIterable_order,88,88,98
commons-io,CompositeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\CompositeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java,JUnit5,121,4,Magic Number Test,constructorIterable_Null,103,103,109
commons-io,CompositeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\CompositeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java,JUnit5,121,4,Magic Number Test,constructorArray_Null,114,114,120
commons-io,CompositeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\CompositeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java,JUnit5,121,4,Sensitive Equality,constructorIterable_Null,103,103,109
commons-io,CompositeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\CompositeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java,JUnit5,121,4,Sensitive Equality,constructorArray_Null,114,114,120
commons-io,CompositeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\CompositeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java,JUnit5,121,4,Lazy Test,constructorIterable_order,null,null,null
