projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
commons-io;ExtensionFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java;JUnit5;58;2;Resource Optimism;setUp;33-41;33-41
commons-io;ExtensionFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java;JUnit5;58;2;Resource Optimism;testCaseSensitivity;44-57;44-57
commons-io;ExtensionFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;48;48
commons-io;ExtensionFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;49;49
commons-io;ExtensionFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;50;50
commons-io;ExtensionFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;53;53
commons-io;ExtensionFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;54;54
commons-io;ExtensionFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;55;55
commons-io;ExtensionFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;56;56
commons-io;ExtensionFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/ExtensionFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/ExtensionFileComparator.java;JUnit5;58;2;Verbose Test;testCaseSensitivity;44-57;44-57
