commit.id;commit.name;commit.date;commit.msg;commit.tag;project;TestClass;ProductionFile;NumberLine;NumberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 10:33:59 BRT 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;ByteOrderParserTest;/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/ByteOrderParser.java;46;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 10:33:59 BRT 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;ProxyCollectionWriterTest;/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ProxyCollectionWriter.java;471;23;54;23;0;0;0;0;0;42;6;0;0;0;24;1;0;0;0;24;0;0;5
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 10:33:59 BRT 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;StringBuilderWriterTest;/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/StringBuilderWriter.java;152;13;19;12;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;12;0;0;4
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 10:33:59 BRT 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;TaggedWriterTest;/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/TaggedWriter.java;125;3;12;2;0;0;0;0;0;4;0;0;0;0;0;1;0;0;4;5;0;0;3
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 10:33:59 BRT 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;ClosedOutputStreamTest;/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ClosedOutputStream.java;58;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 10:33:59 BRT 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;NullPrintStreamTest;/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/NullPrintStream.java;55;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 10:33:59 BRT 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;ChunkedOutputStreamTest;/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ChunkedOutputStream.java;67;4;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 10:33:59 BRT 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;LockableFileWriterTest;/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/LockableFileWriter.java;185;14;42;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;17;8;0;0;1
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 10:33:59 BRT 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;ProxyOutputStreamTest;/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ProxyOutputStream.java;62;5;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 10:33:59 BRT 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;CloseShieldOutputStreamTest;/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/CloseShieldOutputStream.java;67;5;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
